start,end,participant,text
0.090,1.280,fn050,b'\n      '
0.390,1.450,me045,b'\n      As usual.\n    '
1.190,2.130,me003,b'\n      Yes.\n    '
2.504,5.908,me045,b'\n      '
4.373,5.222,,b'\n      '
5.349,6.515,me003,b'\n      Whew! '
7.517,9.758,me003,b'\n      '
8.779,11.211,me045,b'\n      '
9.758,13.160,me003,b'\n      '
12.830,15.200,me045,b'\n      '
13.790,15.650,fn050,b'\n      '
14.556,17.260,me003,"b'\n      I woke up twenty minutes ago, thinking,\n    '"
15.817,16.621,me045,b'\n      '
16.360,17.400,fn050,b'\n      '
17.055,17.542,me045,b'\n      Oy. '
17.260,18.437,me003,b'\n      what did I forget?\n    '
18.437,20.720,me003,b'\n      '
18.570,19.470,mn015,b'\n      '
18.780,20.100,fn050,b'\n      '
20.210,20.990,me045,b'\n      '
20.770,23.640,mn015,"b""\n      It's great how the br- """
23.383,24.417,,b'\n      '
23.820,25.380,me003,b'\n      '
24.700,26.320,me045,"b""\n      Something's not right here.\n    """
25.860,27.420,me003,b'\n      Internal alarms.\n    '
30.898,31.340,mn015,b'\n      '
31.340,32.300,mn015,b'\n      O_K.\n    '
32.310,36.060,mn015,"b'\n      So the news for me is A_, my\n    '"
36.080,38.400,mn015,b'\n      forthcoming travel plans '
38.454,39.140,me003,b'\n      '
39.020,40.800,mn015,b'\n      in two weeks\n    '
39.140,40.060,me003,b'\n      Yes.\n    '
41.000,42.060,mn015,b'\n      from today?\n    '
43.060,43.301,mn015,b'\n      Yeah?\n    '
43.730,44.630,mn015,b'\n      More or less?\n    '
46.190,49.050,mn015,"b""\n      I'll be off to Sicily and Germany\n    """
49.011,50.393,me003,b'\n      '
49.050,50.660,mn015,"b'\n      for a couple, three days.\n    '"
51.020,52.820,me003,b'\n      Now what are y- what are you doing there? I forgot?\n    '
53.770,58.110,mn015,"b""\n      O_K, I'm flying to Sicily basically to drop off Simon\n    """
58.420,66.677,mn015,"b""\n      there with his grandparents. And then I'm flying to Germany t- to go to a MOKU-Treffen which is\n    """
66.677,71.970,mn015,"b'\n      the meeting of all the module-responsible people in SmartKom,\n    '"
71.850,72.263,me003,b'\n      Mmm.\n    '
72.386,73.079,mn015,b'\n      '
73.500,76.140,mn015,"b'\n      and, represent I_C_I '"
77.850,79.440,mn015,b'\n      and myself I guess\n    '
80.310,81.240,mn015,b'\n      there.\n    '
80.656,81.505,,b'\n      '
81.680,82.906,mn015,b'\n      And um.\n    '
82.906,84.230,mn015,"b""\n      That's the\n    """
84.230,84.780,mn015,b'\n      mmm\n    '
85.090,86.330,mn015,b'\n      actual reason.\n    '
86.530,88.880,mn015,"b""\n      And then I'm also going up to E_M_L\n    """
88.880,90.890,mn015,"b""\n      for a day, and then I'm going to """
90.890,95.050,mn015,b'\n      meet the '
95.500,100.940,mn015,b'\n      in Saarbruecken and the '
101.960,104.490,mn015,"b""\n      and then I'm flying back via Sicily\n    """
105.482,107.330,mn015,b'\n      pick up my son '
106.730,107.710,me003,b'\n      '
108.410,110.590,mn015,b'\n      come back here on the fourth of July.\n    '
113.510,117.140,me045,b'\n      What a great time to be coming back to the U_S_-of-A_.\n    '
113.682,114.406,mn015,b'\n      And uh.\n    '
116.900,118.197,me003,b'\n      '
117.290,118.730,fn050,b'\n      '
117.463,118.428,me045,b'\n      '
118.197,119.444,me003,b'\n      God bless America.\n    '
