start,end,participant,text
0.323,1.460,me011,"b""\n      O_K, we're on.\n    """
1.286,1.840,me001,b'\n      '
1.622,2.631,me013,b'\n      O_K. '
2.304,5.340,me011,"b""\n      So, I mean, everyone who's on the wireless check that they're on.\n    """
2.354,2.947,me001,b'\n      Alright.\n    '
2.374,2.898,mn017,b'\n      C- we -\n    '
3.392,4.123,fe008,b'\n      I see.\n    '
4.233,14.340,me001,b'\n      '
6.250,6.719,mn017,b'\n      Yeah.\n    '
6.488,7.121,fe008,b'\n      '
7.398,8.071,,b'\n      '
8.110,10.721,me011,"b'\n      O_K, our agenda was quite short. '"
9.692,12.551,me013,b'\n      '
11.433,13.741,me011,"b'\n      Sure. Two items, which was, uh,\n    '"
14.622,23.990,me011,b'\n      digits and '
19.426,21.265,fe008,b'\n      '
19.485,20.375,,b'\n      '
21.685,23.425,me013,b'\n      '
21.903,22.564,mn017,b'\n      Mm-hmm.\n    '
23.425,25.720,me013,"b'\n      I guess the only other thing, uh, for which I -\n    '"
24.432,32.697,me001,b'\n      '
25.119,29.020,mn017,"b'\n      We should do that second, because Liz might join us in time for that.\n    '"
27.884,28.589,me011,b'\n      O_K.\n    '
29.287,33.858,me013,"b""\n      Um. O_K, so there's digits, alignments, and, um,\n    """
34.387,35.757,me013,"b'\n      I guess the other thing,\n    '"
35.757,36.865,me013,b'\n      '
36.865,39.786,me013,"b'\n      which I came unprepared for, uh, '"
39.786,44.190,me013,"b""\n      is, uh, to dis- s- s- see if there's anything anybody wants to discuss about the Saturday meeting.\n    """
44.087,44.860,me011,b'\n      Right.\n    '
44.190,45.524,me013,b'\n      '
45.524,45.996,me013,b'\n      So.\n    '
46.501,48.219,me013,"b'\n      Any - I mean, maybe not.\n    '"
47.383,49.855,me011,b'\n      Digits and alignments. '
48.767,49.120,me013,b'\n      '
49.120,50.787,me013,b'\n      '
50.691,51.235,me011,b'\n      But -\n    '
52.030,52.663,me013,b'\n      Uh.\n    '
52.075,56.250,mn017,"b""\n      Talk about aligning people's schedules. """
53.938,54.492,me001,b'\n      '
54.028,55.136,me013,b'\n      Yeah. '
54.148,55.020,me011,b'\n      Yeah.\n    '
54.976,55.411,fe008,b'\n      Mm-hmm. '
54.996,55.609,mn014,b'\n      '
55.729,56.436,me013,b'\n      '
56.250,58.155,mn017,b'\n      '
56.436,59.140,me013,"b'\n      Yeah. I mean - Right. Yeah, I mean, it was -\n    '"
57.650,62.107,me011,b'\n      '
59.140,61.408,me013,b'\n      '
59.203,61.540,mn017,"b""\n      Yeah. If we're very - """
59.770,62.310,mn014,b'\n      Forced align. '
