start,end,participant,text
0.000,1.430,,b'\n      '
0.000,1.012,mn035,b'\n      '
3.644,5.106,mn035,b'\n      '
6.690,8.000,me011,"b'\n      O_K, so we should be on.\n    '"
8.259,9.365,mn082,b'\n      So\n    '
8.430,9.685,me011,"b""\n      And I'm gonna go ahead and\n    """
9.685,11.163,me011,"b'\n      start by reading the digit strings,\n    '"
11.163,12.517,me011,b'\n      just to give you an example of how to do it.\n    '
12.517,14.897,me011,b'\n      And so the first thing to do is read the transcript number\n    '
14.897,17.010,me011,b'\n      which is '
17.440,21.645,me011,b'\n      So this is transcript one five five one dash one five seven zero '
21.787,22.880,me011,b'\n      two seven '
23.032,23.802,me011,b'\n      three '
23.884,24.758,me011,b'\n      four '
24.806,26.079,me011,b'\n      five zero zero '
26.114,27.349,me011,b'\n      seven one six '
27.349,28.375,me011,b'\n      eight four four '
28.676,30.418,me011,b'\n      nine five two four seven '
30.725,31.880,me011,b'\n      O_ six O_ '
31.937,32.614,me011,b'\n      zero '
32.731,33.231,me011,b'\n      one '
33.511,35.556,me011,b'\n      two O_ O_ two two O_ four '
35.814,37.260,me011,b'\n      four one seven five '
37.581,38.336,me011,b'\n      five three '
38.427,39.308,me011,b'\n      six six eight '
39.397,40.005,me011,b'\n      seven '
40.125,40.558,me011,b'\n      eight '
40.711,41.149,me011,b'\n      nine '
41.381,42.319,me011,b'\n      O_ O_ nine O_ '
42.545,43.914,me011,b'\n      one one five nine '
44.104,46.165,me011,b'\n      two four six six two O_ five '
48.490,50.100,me011,b'\n      And so if you could just go around the table\n    '
51.372,52.685,me011,b'\n      and read them out.\n    '
51.372,52.685,fn083,"b'\n      O_K, should I next?\n    '"
52.685,52.931,me011,b'\n      Yep\n    '
53.074,58.073,fn083,"b'\n      O_K, transcript is one seven three one dash one seven five O_ '"
58.972,61.284,fn083,b'\n      O_ one nine nine O_ one three '
61.548,63.392,fn083,b'\n      zero seven six seven five '
62.736,64.326,mn082,b'\n      '
63.392,65.095,fn083,b'\n      one seven four two O_ '
65.665,66.087,fn083,b'\n      two '
66.087,66.595,fn083,b'\n      three '
66.595,67.292,fn083,b'\n      four '
67.292,68.956,fn083,b'\n      six one eight seven '
68.956,70.914,fn083,b'\n      seven four zero seven '
71.038,72.435,fn083,b'\n      eight six four eight '
72.463,73.385,fn083,b'\n      nine five '
73.385,73.851,fn083,b'\n      O_ '
73.994,74.699,fn083,b'\n      zero '
74.699,75.440,fn083,b'\n      one zero '
75.440,76.505,fn083,b'\n      three two three '
76.755,78.140,fn083,b'\n      four three seven O_ '
78.417,79.766,fn083,b'\n      five three zero two '
79.766,80.494,fn083,b'\n      six nine '
80.494,81.701,fn083,b'\n      seven nine seven '
81.787,82.321,fn083,b'\n      eight '
82.321,83.300,fn083,b'\n      nine O_ nine '
85.132,91.020,mn021,"b'\n      O_K, this is transcript one five seven one, one five nine zero. '"
91.020,92.285,mn021,b'\n      three nine five '
92.332,94.290,mn021,b'\n      four seven seven O_ '
94.505,95.408,mn021,b'\n      five nine '
95.475,96.121,mn021,b'\n      six '
96.188,98.583,mn021,b'\n      seven O_ O_ six one '
98.994,101.275,mn021,b'\n      nine one six four two '
101.684,102.872,mn021,b'\n      O_ seven one '
103.159,104.176,mn021,b'\n      zero three '
104.481,108.007,mn021,b'\n      one eight zero zero nine eight five '
108.083,108.777,mn021,b'\n      two '
108.806,109.509,mn021,b'\n      three '
109.692,112.173,mn021,b'\n      four zero zero one seven '
112.600,113.893,mn021,b'\n      six three five '
113.918,115.135,mn021,b'\n      seven seven '
115.230,117.178,mn021,b'\n      eight nine nine three '
117.463,118.675,mn021,b'\n      nine six '
118.828,119.347,mn021,b'\n      O_ '
119.347,120.060,mn021,b'\n      zero '
120.317,120.963,mn021,b'\n      one '
121.239,124.709,mn021,b'\n      three one eight five seven four three '
126.030,131.443,me011,b'\n      If you could sign that? '
126.030,131.443,mn082,"b'\n      O_K, Transcript script one four one one dash one four thre- uh three zero. '"
132.129,134.808,mn082,b'\n      seven six four six three seven four '
135.142,137.185,mn082,b'\n      eight six six four seven '
137.334,138.485,mn082,b'\n      nine nine O_ '
138.770,139.283,mn082,b'\n      O_ '
139.798,141.082,mn082,b'\n      zero zero six '
141.167,143.667,mn082,b'\n      two two eight zero one two five '
143.724,144.770,mn082,b'\n      three four '
145.099,146.458,mn082,b'\n      four six O_ two '
146.848,149.395,mn082,b'\n      five six four four six '
149.677,151.631,mn082,b'\n      six eight one five '
151.631,152.487,mn082,b'\n      seven O_ '
152.606,153.357,mn082,b'\n      eight '
153.433,154.441,mn082,b'\n      O_ three '
154.768,155.201,mn082,b'\n      zer- '
155.201,157.321,mn082,b'\n      zero three five three two '
157.869,158.928,mn082,b'\n      one five three '
159.266,160.445,mn082,b'\n      two six two two '
160.612,161.648,mn082,b'\n      three eight '
161.924,163.882,mn082,b'\n      four O_ one six one '
164.034,164.804,mn082,b'\n      five '
164.996,167.875,mn082,b'\n      seven two three five one two eight '
170.016,175.776,mn030,"b'\n      Um, transcript number one six five one, one six seven O_- uh O_. '"
176.768,177.931,mn030,b'\n      six O_ O_ '
177.931,179.030,mn030,b'\n      seven zero '
179.106,179.981,mn030,b'\n      nine one '
180.319,182.449,mn030,b'\n      O_ three w- O_ O_ nine '
182.810,185.956,mn030,b'\n      zero six two zero two eight five '
186.310,187.146,mn030,b'\n      one eight '
187.365,187.908,mn030,b'\n      two '
188.258,189.161,mn030,b'\n      three '
189.633,191.381,mn030,b'\n      four O_ eight five seven '
191.952,193.217,mn030,b'\n      six two four '
