start,end,participant,text
2.620,3.253,me013,b'\n      '
3.253,6.349,me013,"b'\n      I think for two years we were two months, uh, away from being done.\n    '"
6.595,9.080,mn007,b'\n      '
6.660,8.110,me018,b'\n      '
6.666,11.927,me013,b'\n      '
6.760,13.510,me006,b'\n      '
9.197,10.602,me018,"b'\n      And what was that, Morgan?\n    '"
9.435,9.929,fn002,b'\n      '
11.300,12.200,me018,b'\n      What project?\n    '
11.927,12.382,me013,b'\n      '
12.382,14.044,me013,"b'\n      Uh, the, uh, TORRENT chip.\n    '"
14.050,15.543,me018,b'\n      Oh. '
14.420,16.400,me013,b'\n      Yeah. We were two - we were - '
15.740,16.002,mn007,b'\n      Yeah.\n    '
16.400,25.090,me013,"b""\n      Uh, uh, we went through it - Jim and I went through old emails at one point and - and for two years there was this thing saying, yeah, we're - we're two months away from being done. """
23.140,25.750,me018,b'\n      '
23.639,27.000,me006,b'\n      '
23.669,25.126,mn007,b'\n      '
25.560,26.795,me013,b'\n      '
26.795,33.483,me013,"b'\n      It was very - very believable schedules, too. I mean, we went through and - with the schedules - and we - Yeah. Oh, yeah. It was '"
28.433,29.680,mn007,b'\n      '
28.580,29.677,me018,b'\n      '
29.677,31.212,me018,b'\n      It was true for two years.\n    '
32.240,34.458,me018,b'\n      '
32.799,34.260,me006,b'\n      '
33.483,34.720,me013,b'\n      '
35.044,39.430,me018,"b'\n      So, should we just do the same kind of deal where we '"
39.950,41.771,me018,b'\n      status report '
40.757,41.687,mn007,b'\n      '
42.598,47.296,me018,b'\n      O_K. And I '
47.110,47.860,mn007,b'\n      Mm-hmm. '
47.296,48.250,me018,b'\n      So.\n    '
47.310,50.181,me013,b'\n      Yeah. So we '
49.910,51.623,me018,"b""\n      O_K. That's a good idea.\n    """
50.417,51.044,me006,b'\n      O_K.\n    '
50.536,51.960,me013,b'\n      Yeah. Yeah.\n    '
51.623,52.201,me018,b'\n      '
52.201,53.265,me018,b'\n      Any objection?\n    '
53.265,55.345,me018,b'\n      '
54.045,54.401,fn002,b'\n      '
54.571,56.640,me013,b'\n      '
54.860,55.491,fn002,b'\n      '
55.345,56.556,me018,b'\n      '
56.556,58.446,me018,"b'\n      Do you want to start, Morgan? Do you have anything, or - ?\n    '"
57.597,67.290,me013,b'\n      '
59.724,62.295,fn002,b'\n      '
60.420,61.824,me018,b'\n      '
61.210,62.210,me006,b'\n      '
66.947,67.818,mn007,b'\n      '
67.290,70.200,me013,"b""\n      since they're here, they can talk about it themselves.\n    """
69.828,71.288,me018,b'\n      '
70.980,73.810,me006,"b'\n      O_K. So should I go so that, uh,\n    '"
71.288,72.379,me018,b'\n      '
73.770,75.126,me018,"b""\n      Yeah. Why don't you go ahead, Barry?\n    """
74.443,78.144,me006,"b""\n      you're gonna talk about Aurora stuff, per se? O_K. Um.\n    """
76.400,77.028,me018,b'\n      O_K.\n    '
78.144,84.757,me006,"b""\n      Well, this past week I've just been, uh, getting down and dirty into writing my - my proposal.\n    """
78.230,79.141,me018,b'\n      '
84.689,85.599,fn002,b'\n      '
84.757,87.252,me006,"b'\n      So, um -\n    '"
88.490,96.701,me006,"b'\n      Mmm. I just finished a section on, uh - on talking about these intermediate categories that I want to classify,\n    '"
96.701,108.657,me006,"b'\n      um, as a - as a middle step. And, um, I hope to - hope to get this, um - a full rough draft done by, uh, Monday so I can give it to Morgan.\n    '"
108.800,110.660,me018,"b'\n      When is your, uh, meeting?\n    '"
110.590,119.800,me006,"b'\n      Um, my meeting with, uh - ? Oh, oh, you mean the - the quals. Uh, the quals are happening in July twenty-fifth.\n    '"
112.020,112.680,me018,b'\n      Yeah.\n    '
113.950,114.978,me018,b'\n      The quals. Yeah.\n    '
119.390,120.971,me018,b'\n      Oh. Soon.\n    '
120.780,122.820,me006,b'\n      Yeah. D_-Day.\n    '
121.437,122.178,me018,b'\n      Uh-huh.\n    '
122.178,123.464,me018,b'\n      Yeah. '
123.528,124.418,me006,b'\n      Uh-huh. '
124.300,128.230,me018,"b""\n      So, is the idea you're going to do this paper and then you pass it out to everybody ahead of time and - ?\n    """
126.794,134.631,me006,b'\n      '
135.027,141.571,me006,"b'\n      And, um, and then, um - then everybody asks you questions.\n    '"
141.606,142.084,me018,b'\n      Hmm.\n    '
142.105,142.664,me006,b'\n      Yeah.\n    '
143.770,144.849,me018,b'\n      I remember now.\n    '
144.990,147.895,me006,b'\n      '
145.390,146.886,me018,b'\n      '
147.895,151.161,me006,"b'\n      Yep. So, um. Y- s-\n    '"
149.003,149.596,me018,b'\n      Have you d- ?\n    '
150.050,153.513,me018,"b'\n      I was just gonna ask, do you want to say any - a little bit about it, or - ?\n    '"
153.520,156.050,me006,"b'\n      Oh. Uh, a little bit about - ?\n    '"
153.948,154.410,me018,b'\n      Mmm.\n    '
155.350,160.110,me018,"b""\n      Wh- what you're - what you're gonna - You said - you were talking about the, uh, particular features that you were looking at, or -\n    """
157.913,162.355,me006,"b'\n      Oh, the - the - Right. Well, I was, um,\n    '"
162.355,163.245,me006,b'\n      '
163.245,167.339,me006,"b'\n      I think one of the perplexing problems is, um,\n    '"
167.339,176.381,me006,b'\n      for a while I was thinking that I '
172.597,173.329,me013,b'\n      '
176.381,185.361,me006,"b""\n      But what I'm thinking now is, I would start with - with a """
185.840,190.073,me006,"b'\n      like, uh, re- regular phonetic features, just to - just to start off that way.\n    '"
190.073,203.919,me006,"b'\n      And do some phone recognition. Um, build a system that, uh, classifies these, um - these feat- uh, these intermediate categories using, uh, multi-band techniques.\n    '"
204.690,207.934,me006,b'\n      Combine them and do phon- phoneme recognition.\n    '
208.270,220.370,me006,b'\n      Look at - then I would look at the '
220.654,224.761,me006,b'\n      That would - that would reduce '
225.355,228.706,me006,b'\n      '
228.706,242.032,me006,"b'\n      Um, build the intermediate classifiers. Uh, do phoneme recognition. Look at the errors. And then '"
242.120,243.430,me018,"b""\n      So you're gonna use TIMIT?\n    """
243.260,247.435,me006,"b'\n      Um, for that - for that part of the - the process, yeah, I would use TIMIT.\n    '"
246.504,247.064,me018,b'\n      Mm-hmm.\n    '
247.989,248.490,me006,b'\n      '
248.490,252.380,me006,"b'\n      And, um, '"
253.200,257.684,me006,"b""\n      after - after, uh, um, doing TIMIT. Right? Um, that's -\n    """
256.928,257.749,me018,b'\n      Mm-hmm.\n    '
258.258,258.733,me006,b'\n      '
259.504,263.007,me006,"b""\n      that's, um - that's just the ph- the phone recognition task.\n    """
261.600,262.688,,b'\n      '
262.260,263.424,me018,b'\n      Yeah.\n    '
263.007,267.547,me006,"b'\n      Uh, I wanted to take a look at, um, things that I could model '"
267.230,269.080,mn052,b'\n      '
267.547,273.656,me006,"b'\n      So, I would mov- I would then shift the focus to, um, something like Schw- Switchboard,\n    '"
271.290,283.283,mn052,b'\n      '
273.656,284.782,me006,"b""\n      uh, where I'd - I would be able to, um - to model, um, intermediate categories that span """
282.127,283.030,me018,b'\n      Mm-hmm.\n    '
284.782,291.667,me006,"b'\n      um, and then do the same process '"
285.560,287.126,mn052,b'\n      '
292.023,294.595,me006,b'\n      '
295.610,308.600,me006,"b""\n      for that part I would - I'd use the S_R_I recognizer since it's already set up for - for Switchboard. And I'd run some - some sort of tandem-style processing with, uh, my intermediate classifiers.\n    """
296.570,297.450,me013,b'\n      '
304.176,308.488,mn052,b'\n      '
308.660,312.171,me018,"b""\n      Oh. So that's why you were interested in getting your own features into the S_R_I files.\n    """
309.631,310.007,me006,b'\n      '
309.860,326.411,mn052,b'\n      '
311.050,314.920,me006,"b""\n      Yeah. That's why I - I was asking about that. Yeah.\n    """
312.171,313.199,me018,b'\n      Yeah.\n    '
314.104,314.597,me018,b'\n      Yeah.\n    '
316.230,320.040,me006,"b'\n      Um, '"
322.320,326.780,me006,"b""\n      I guess that's - that's it. Any - any questions?\n    """
326.198,327.190,me018,b'\n      '
327.587,330.946,me013,b'\n      '
327.724,329.660,me006,b'\n      '
329.850,332.700,me018,"b'\n      Sounds good. So you just have a few more weeks, huh?\n    '"
332.960,335.653,me006,"b'\n      Um, yeah. A few more.\n    '"
333.890,336.160,mn052,b'\n      '
335.560,336.980,me018,"b""\n      It's about a month from now?\n    """
336.500,338.500,me006,"b""\n      It's a - it's a month and - and a week.\n    """
337.610,338.734,mn052,b'\n      '
338.466,339.059,me018,b'\n      Yeah.\n    '
338.920,339.620,me006,b'\n      Yeah.\n    '
342.490,345.677,me018,"b""\n      So, uh, you want to go next, Dave? And we'll do -\n    """
345.010,353.582,me026,"b'\n      Oh. O_K, sure. So, um, last week I finally got results from the S_R_I system about this mean subtraction approach.\n    '"
354.507,364.582,me026,"b'\n      And, um, we - we got an improvement, uh, in word error rate, training on the T_I-digits data set and testing on Meeting Recorder digits of, um,\n    '"
364.582,365.097,me026,b'\n      '
364.944,366.012,me013,b'\n      '
365.097,368.838,me026,"b'\n      six percent to four point five percent, um, on the n-\n    '"
369.115,381.317,me026,b'\n      on the far-mike data '
382.029,383.222,me026,"b'\n      And, um,\n    '"
384.449,387.031,me026,"b'\n      wh- why would that be, um, '"
387.031,391.343,me026,"b'\n      considering that we actually got an improvement in near-mike performance using H_T_K? And so,\n    '"
391.343,395.605,me026,b'\n      '
393.251,393.686,mn052,b'\n      '
395.605,396.486,me026,b'\n      '
396.486,405.409,me026,"b'\n      first of all H_T_K - sorry, S_R- the S_R_I system is doing channel adaptation, and so H_T_K '"
397.735,400.010,me006,b'\n      '
406.230,413.825,me026,b'\n      This mean subtraction approach will do a kind of channel '
413.825,422.973,me026,b'\n      '
422.973,428.610,me026,b'\n      So those finer-grained acoustic models could be more sensitive to the artifacts '
428.610,430.272,me026,b'\n      '
431.397,437.292,me026,b'\n      And me and Barry were listening to the re-synthesized audio and sometimes it seems like you get of a bit of an '
437.292,447.063,me026,"b'\n      in the background. And so that seems like it could be difficult for training, cuz you could have '"
447.063,448.797,me026,b'\n      '
448.797,452.338,me026,b'\n      depending on '
452.338,461.298,me026,b'\n      '
461.298,463.429,me026,b'\n      '
463.890,468.599,me026,"b'\n      set of, um, read speech, and, um - Hmm.\n    '"
468.304,473.400,me013,b'\n      '
473.400,476.816,me013,"b'\n      we were talking in our meeting about, uh, this stuff that -\n    '"
476.816,479.665,me013,"b'\n      some of the other stuff that Avendano did, where they were,\n    '"
479.665,483.351,me013,"b'\n      um, getting rid of low-energy '"
483.351,486.170,me013,"b'\n      Um, uh, if you -\n    '"
486.170,493.623,me013,"b'\n      if you did a high-pass filtering, as Hirsch did in '"
493.623,497.424,me013,"b'\n      uh, uh, Avendano and Hermansky were arguing that,\n    '"
497.424,504.755,me013,"b'\n      uh, perhaps one of the reasons for that working was ma- may not have even been the '"
504.755,508.879,me013,"b'\n      an all-positive power spectrum you get some negative values,\n    '"
508.879,513.122,me013,b'\n      and you gotta figure out what to do with them if '
513.122,518.561,me013,"b'\n      So, what - what Hirsch did was, uh, set them to zero - set the negative values to zero.\n    '"
518.561,521.851,me013,"b""\n      So if you imagine a - a waveform that's all positive,\n    """
521.851,525.007,me013,"b'\n      which is the time trajectory of energy,\n    '"
525.007,528.467,me013,"b'\n      um, and, uh, shifting it downwards,\n    '"
528.467,530.171,me013,"b'\n      and then getting rid of the negative parts,\n    '"
530.171,532.509,me013,"b""\n      that's essentially throwing away the low-energy things.\n    """
532.509,534.967,me013,"b""\n      And it's the low-energy parts of the speech\n    """
534.967,540.665,me013,"b'\n      where the reverberation is most audible. You know, you have the reverberation from higher-energy things showing up in -\n    '"
540.665,546.217,me013,b'\n      So in this case you have some artificially imposed '
546.217,548.237,me013,b'\n      some of the '
548.237,551.231,me013,"b'\n      but because you have these non-causal windows,\n    '"
551.231,554.416,me013,"b""\n      you're getting these funny things coming in, uh, at n-\n    """
554.416,557.575,me013,"b'\n      And, um, what if you did - ?\n    '"
557.575,562.158,me013,"b""\n      I mean, there's nothing to say that the - the processing for this re-synthesis has to be restricted\n    """
562.158,563.983,me013,b'\n      to trying to get it back to\n    '
563.983,567.099,me013,"b'\n      the original, according to some equation. I mean, you also\n    '"
565.810,566.661,me026,b'\n      Uh-huh.\n    '
567.099,571.351,me013,"b'\n      could, uh, just try to make it nicer. '"
570.847,571.295,me026,b'\n      Mm-hmm.\n    '
571.351,576.193,me013,"b'\n      And one of the things you could do is, you could do some sort of V_A_D-like thing and you actually '"
576.193,582.756,me013,"b'\n      take very low-energy sections and set them to some - some, uh, very low or - or near zero '"
583.142,583.834,me026,b'\n      Uh-huh.\n    '
583.171,588.320,me013,"b""\n      I mean, uh, I'm just saying """
588.320,589.848,me013,"b'\n      are, uh -\n    '"
589.848,592.331,me013,"b'\n      or pre-echoes, whichever they are - are - are,\n    '"
592.994,596.690,me013,"b""\n      uh, part of what's causing the problem, you actually could get rid of them.\n    """
599.132,599.963,me026,b'\n      Uh-huh.\n    '
602.327,603.397,me013,b'\n      Be pretty simple.\n    '
604.651,605.244,me026,b'\n      '
605.078,611.151,me013,"b'\n      I mean, you do it in a pretty conservative way so that if you made a mistake you were more likely to '"
613.953,614.363,me026,b'\n      Hmm.\n    '
614.640,617.953,mn052,"b'\n      Um, what is the reverberation time '"
617.533,619.333,me026,b'\n      In thi- in this room? Uh -\n    '
618.685,623.630,mn052,"b'\n      On, uh, the - the one what - the s- in the speech that you are - you are using like?\n    '"
622.810,625.520,me026,"b""\n      Y- Yeah. I - I - I - I don't know.\n    """
625.160,626.282,me013,b'\n      '
626.560,628.400,mn052,"b""\n      It's, uh - Oh, this room? O_K.\n    """
627.074,628.220,me013,"b""\n      It's - it's this room. So -\n    """
628.220,629.511,me013,"b""\n      so it's - these are just microphone -\n    """
629.511,633.588,me013,"b""\n      this micro- close microphone and a distant microphone, he's doing these different tests on.\n    """
629.729,630.263,me006,b'\n      Oh.\n    '
631.564,632.400,mn007,b'\n      '
633.588,638.172,me013,"b""\n      Uh, we should do a measurement in here. I g- think we never have. I think it's - I would guess, uh,\n    """
636.878,637.723,me006,b'\n      Hmm! '
638.039,639.130,me006,b'\n      '
638.172,642.521,me013,"b'\n      point seven, point eight seconds f- uh, R_T_sixty - something like that?\n    '"
642.150,642.750,mn052,b'\n      Mm-hmm.\n    '
642.521,644.098,me013,"b""\n      But it's - you know, it's this room.\n    """
644.098,645.613,me013,b'\n      So. '
644.132,644.626,mn052,b'\n      O_K.\n    '
645.022,645.516,mn052,b'\n      Mm-hmm.\n    '
645.613,646.592,me013,b'\n      Uh.\n    '
647.210,648.100,me006,b'\n      '
648.700,654.274,me013,"b'\n      But the other thing is, he\'s putting in - w- I was using the word ""reverberation"" in two ways. He\'s also putting in,\n    '"
654.274,655.324,me013,"b'\n      uh, a -\n    '"
655.324,663.351,me013,"b""\n      he's taking """
663.351,667.276,me013,"b'\n      which are then being subtracted from the speech. And since,\n    '"
666.624,669.215,me006,b'\n      '
667.276,673.828,me013,"b""\n      you know, what you subtract, sometimes you'll be - you'll be subtracting from some larger number and sometimes you won't. And -\n    """
672.760,673.920,mn052,b'\n      Mm-hmm. Mm-hmm.\n    '
673.828,678.538,me013,b'\n      So you can end up with some '
675.980,676.336,me006,b'\n      '
678.354,678.670,me006,b'\n      '
678.993,685.290,me013,"b""\n      Uh, and if it's a low """
684.960,685.490,mn052,b'\n      Yeah.\n    '
686.463,695.936,me026,"b'\n      O- o- one thing, um, I noticed is that, um, the mean subtraction seems to make the P_Z_M signals '"
696.373,703.363,me026,"b'\n      So I was wondering, is it possible that one reason it helped with the Aurora baseline system is '"
697.261,699.002,fn002,b'\n      '
701.692,702.009,fn002,b'\n      '
703.363,707.410,me026,"b""\n      Cuz some of the P_Z_M signals sound pretty quiet if you don't amplify them.\n    """
708.893,709.387,mn007,b'\n      Mm-hmm.\n    '
710.241,714.748,mn007,"b""\n      I don't see why - why your signal is louder after processing, because yo-\n    """
714.770,716.840,me026,"b""\n      Yeah. I don't know why -y, uh, either.\n    """
716.051,717.912,me013,b'\n      '
716.608,717.142,mn007,b'\n      Yeah.\n    '
717.912,721.216,me013,"b""\n      I don't think just multiplying the signal by two would have any effect.\n    """
719.931,720.990,mn007,b'\n      Mm-hmm.\n    '
721.222,722.271,me026,"b'\n      Oh, O_K.\n    '"
722.260,725.526,me013,"b'\n      Yeah. I mean, I think if you really have louder signals,\n    '"
723.076,723.729,mn007,"b'\n      Well, well -\n    '"
724.950,725.594,mn007,b'\n      '
726.250,730.072,me013,b'\n      what you mean is that you have '
730.072,733.653,me013,b'\n      So '
732.533,733.186,mn007,b'\n      Mm-hmm. '
733.653,737.200,me013,b'\n      But just it being '
735.009,737.641,me026,"b""\n      It w- i- i- it wouldn't affect things. O_K.\n    """
737.010,737.399,mn007,b'\n      Yeah.\n    '
737.420,737.762,me013,b'\n      No.\n    '
737.979,739.106,mn007,"b'\n      Well, the system is -\n    '"
740.056,743.814,mn007,b'\n      use '
744.130,746.108,mn007,b'\n      on the '
746.821,748.897,mn007,"b'\n      But, not so much, I guess.\n    '"
748.650,753.289,me013,b'\n      '
749.690,750.124,mn007,b'\n      Mmm.\n    '
751.053,751.686,mn007,b'\n      Mm-hmm.\n    '
753.289,753.983,me013,b'\n      '
753.983,758.580,me013,"b'\n      in both training and test, the absolute level by a factor of two, it will n- have no effect.\n    '"
757.390,757.987,mn007,b'\n      Yeah.\n    '
758.020,761.127,me018,b'\n      Did you add '
761.893,762.902,me026,b'\n      '
