start,end,participant,text
0.010,0.996,fe016,b'\n      I was just thinking that '
0.320,2.740,me055,b'\n      '
0.996,3.041,fe016,b'\n      in the meeting you could like '
3.307,10.372,fe016,"b""\n      have this secret thing that would play music if you're - """
5.220,6.790,me011,b'\n      '
5.511,6.834,mn057,b'\n      '
5.816,7.896,me055,b'\n      '
7.693,10.009,me011,b'\n      '
8.323,12.149,me055,b'\n      '
10.832,21.800,,b'\n      '
11.149,12.225,me011,b'\n      Thanks. '
11.221,12.064,fe016,b'\n      '
12.740,13.452,fe016,b'\n      '
13.452,16.339,fe016,"b""\n      No, I mean, just like no one would know if something's actually\n    """
14.466,16.646,me011,b'\n      '
15.027,16.098,me055,b'\n      '
16.340,16.990,mn057,b'\n      '
16.573,19.116,fe016,b'\n      '
19.116,21.764,fe016,b'\n      '
19.900,22.590,me055,"b'\n      Ch-ch-ch, ch-ch-ch, ch-ch-ch, ch-ch-ch '"
21.502,24.334,mn057,"b""\n      Well, it's being recorded """
21.764,22.830,fe016,b'\n      Right. '
22.232,23.700,me025,b'\n      '
22.590,24.203,me055,b'\n      '
23.170,27.213,fe016,b'\n      Right. '
24.203,27.163,me055,b'\n      '
24.334,26.529,mn057,b'\n      '
25.860,29.484,me025,b'\n      '
26.438,30.234,mn057,b'\n      '
27.573,29.559,fe016,"b'\n      Yeah, you just say, ""Mm-hmm. Mm-hmm"".\n    '"
29.505,30.642,me055,b'\n      '
30.211,34.262,mn057,"b""\n      Then we can get Liz's """
31.387,38.055,me025,b'\n      '
31.850,36.950,me011,b'\n      '
32.192,34.346,me055,b'\n      '
32.279,34.260,fe016,b'\n      '
34.398,36.505,me055,b'\n      '
35.061,36.265,fe016,b'\n      Right. '
37.648,41.006,fe016,b'\n      Right. '
38.049,38.607,me011,b'\n      So.\n    '
38.055,39.694,me025,"b'\n      Oh, so,\n    '"
39.093,40.677,me055,b'\n      I really count.\n    '
40.009,43.150,me025,b'\n      you have to turn those things '
41.406,41.934,me011,b'\n      '
41.706,42.269,me056,b'\n      '
41.790,44.540,me055,b'\n      '
42.450,43.540,mn057,b'\n      '
43.750,44.418,me025,b'\n      '
43.760,45.077,me056,b'\n      '
44.243,46.270,fe016,b'\n      '
44.350,44.991,mn057,b'\n      Where '
44.700,46.060,me025,"b""\n      There's a switch on top.\n    """
44.991,46.200,mn057,b'\n      Which one?\n    '
45.132,48.440,me011,"b'\n      There\'s a switch on top. So. ""On-off"".\n    '"
45.850,46.830,me056,b'\n      '
46.200,49.350,me055,b'\n      '
46.360,47.692,fe016,b'\n      '
46.580,47.338,fe008,b'\n      '
47.620,48.693,mn057,b'\n      Which one?\n    '
48.340,49.469,fe016,b'\n      '
48.707,49.850,fe008,b'\n      Hello?\n    '
49.030,49.717,me056,b'\n      '
49.560,50.600,mn038,b'\n      This is on.\n    '
49.969,51.860,me025,b'\n      '
50.399,58.274,fe016,b'\n      '
50.713,52.600,mn038,"b'\n      Hi, hi, hi.\n    '"
52.194,52.673,me055,b'\n      '
52.230,54.800,mn057,"b""\n      Channel - Oh, I'm on two. Good.\n    """
53.053,54.110,me055,b'\n      '
53.735,55.750,me056,b'\n      '
53.886,54.887,me011,b'\n      '
54.220,56.766,mn038,"b""\n      Hello? Hello? I'm - I'm on """
55.460,56.380,me055,b'\n      '
56.766,59.414,mn038,"b""\n      Oh, uh I'm being recorded by the wire.\n    """
56.800,58.100,mn057,b'\n      You '
57.690,58.510,me056,b'\n      Hello?\n    '
57.897,60.914,me011,b'\n      The - the wireless ones are actually labeled.\n    '
58.310,59.330,fe016,b'\n      Hello?\n    '
58.348,59.167,me025,b'\n      Yeah.\n    '
59.330,63.050,fe008,"b""\n      I'm on channel four? Channel four, channel four, channel four?\n    """
60.805,62.410,me055,b'\n      '
61.390,62.771,mn057,"b""\n      Oh, they're already labeled?\n    """
62.440,63.815,me011,b'\n      They have a little piece of tape.\n    '
63.368,64.835,me056,b'\n      '
63.760,66.554,mn057,"b""\n      Yeah, that's what I figured out. No? I'm, uh -\n    """
65.120,66.828,fe008,b'\n      Why? That was good.\n    '
65.294,67.920,me055,b'\n      And is that the channel number or the microphone number?\n    '
66.760,70.330,mn057,"b""\n      Well, I mean, you're counting maybe from one instead of zero, so.\n    """
66.828,68.284,fe008,b'\n      '
67.020,69.637,me056,b'\n      '
67.510,69.540,me011,"b""\n      That's r- exactly the problem. """
68.477,69.120,fe008,b'\n      Hey.\n    '
69.120,69.820,fe008,b'\n      '
69.540,72.600,me011,b'\n      Subtract one from the mike number to get the channel number.\n    '
70.010,70.500,fe008,b'\n      Hey.\n    '
70.500,71.323,fe008,b'\n      Hey.\n    '
71.323,75.120,fe008,"b'\n      You know, '"
71.690,72.466,me055,b'\n      Right.\n    '
71.867,72.980,me056,b'\n      Right.\n    '
71.870,72.710,mn057,b'\n      Right.\n    '
72.010,72.700,me025,b'\n      Yeah.\n    '
72.280,73.360,fe016,b'\n      And what about these?\n    '
72.532,74.875,mn038,b'\n      '
73.130,74.410,me011,b'\n      Or maybe add one.\n    '
73.330,74.730,me025,"b'\n      No, no, no, no, no, no.\n    '"
73.756,74.450,fe016,b'\n      '
74.450,76.475,fe016,"b""\n      Where's the - """
75.120,77.970,me056,"b'\n      No, no. You subtract - He was just saying trap- subtract one.\n    '"
75.286,76.363,fe016,b'\n      Is it labeled?\n    '
75.580,76.490,fe008,b'\n      No?\n    '
75.589,83.150,me025,"b'\n      But you have to - the channel - uh the number on the mike is the number on the screen plus one, of course. '"
76.475,78.780,fe016,b'\n      '
77.150,79.980,fe008,"b'\n      Oh, thank you. Sss- this is the problem.\n    '"
78.517,80.072,mn038,b'\n      '
78.551,79.839,me056,b'\n      '
78.957,79.790,mn057,b'\n      Right.\n    '
80.210,81.950,fe008,"b'\n      Good. O_K, good, good, good.\n    '"
80.563,87.228,fe016,b'\n      '
81.090,82.650,me011,b'\n      Of course. '
82.390,83.120,me056,b'\n      '
82.420,83.240,fe008,b'\n      Thank you.\n    '
83.160,85.171,me025,"b""\n      Cuz, uh, otherwise we would've -\n    """
83.240,83.970,fe008,b'\n      '
84.172,84.930,me011,b'\n      '
84.179,84.870,me056,b'\n      '
85.036,87.935,me011,b'\n      So I guess I am channel eight. '
85.713,86.216,me056,b'\n      Hmm.\n    '
87.650,91.012,fe008,b'\n      Whoa! '
87.679,88.607,me056,b'\n      '
88.830,89.919,fe016,b'\n      '
88.958,90.333,mn038,b'\n      '
89.153,90.875,me011,b'\n      '
90.392,92.730,fe016,b'\n      Am I nine? O_K. '
91.012,92.169,fe008,b'\n      '
91.523,93.380,me011,b'\n      You look ni- You '
92.410,93.122,fe008,b'\n      Hello? '
93.122,95.070,fe008,"b""\n      Yeah, I'm number three. That's right. O_K.\n    """
95.220,96.500,mn057,"b'\n      So, yeah.\n    '"
95.740,102.311,me011,"b""\n      Funny, you don't look a day over seven. """
96.010,97.240,me055,b'\n      '
97.180,99.519,me025,b'\n      '
97.490,99.074,fe016,b'\n      '
97.761,105.639,me055,b'\n      '
97.970,100.662,fe008,b'\n      '
99.074,100.231,fe016,"b'\n      Well, thank you.\n    '"
100.640,102.135,fe016,b'\n      This is kinda fun.\n    '
101.401,107.920,mn038,b'\n      So I guess now we have a lot of censors- self-censorship going on. '
103.430,104.614,me056,b'\n      '
104.614,105.980,me056,b'\n      '
105.470,107.483,fe016,b'\n      '
105.490,106.290,me011,b'\n      '
105.639,106.870,me055,"b'\n      Yeah, yeah.\n    '"
107.320,108.360,me025,"b""\n      That's right.\n    """
107.330,108.240,me056,b'\n      '
107.483,109.133,fe016,"b""\n      But it won't last long.\n    """
107.490,108.510,mn057,b'\n      No!\n    '
108.404,109.840,me055,b'\n      '
108.760,111.730,me011,"b""\n      Yeah, so it's r- it's remarkable how quickly people forget.\n    """
