start,end,participant,text
0.458,3.057,fe067,b'\n      '
0.539,1.560,me011,"b""\n      O_K, you're on.\n    """
1.290,1.866,fe008,b'\n      '
1.560,1.851,,b'\n      '
2.639,3.900,me011,"b'\n      And, do you have my number?\n    '"
3.824,6.340,fe008,"b'\n      Um, w- would you mind telling me again, please?\n    '"
4.147,4.614,,b'\n      '
5.735,6.842,,b'\n      '
7.390,8.180,fe008,b'\n      '
9.613,11.249,fe008,"b""\n      Oh, he's gonna write it. O_K.\n    """
9.720,10.970,,b'\n      '
9.990,10.450,fe067,b'\n      '
13.355,15.499,,b'\n      '
15.804,20.258,fe008,"b""\n      Now, if the batteries were to go out during the meeting, there's really - what do we do?\n    """
16.156,17.166,,b'\n      '
18.307,20.084,,b'\n      '
19.040,19.500,fe067,b'\n      '
20.180,21.017,me011,b'\n      Put a new one in.\n    '
21.026,22.725,,b'\n      '
21.478,22.000,fe067,b'\n      '
22.060,24.141,fe008,b'\n      Do we have batteries back there? O_K.\n    '
24.630,27.510,fe008,"b""\n      O_K. And you'll be in your office during this? Oh, thank you very much.\n    """
26.304,28.852,me011,"b""\n      Actually, I'll probably get some coffee then I'll be back.\n    """
28.414,31.102,fe008,b'\n      Thanks a lot. Appreciate it. Could you close the door for me please?\n    '
28.487,31.100,fe066,"b""\n      What's - so what do we do with this? Anything?\n    """
30.400,32.139,fe067,"b'\n      Just put your name on it, I think.\n    '"
31.056,33.414,fe068,b'\n      '
31.341,32.362,fe066,"b'\n      Oh, O_K.\n    '"
34.950,38.565,,b'\n      '
35.711,36.457,fe008,b'\n      '
35.792,36.401,fe067,b'\n      Uh-huh.\n    '
37.030,40.315,fe008,b'\n      '
39.223,40.458,,b'\n      '
40.570,41.940,fe008,b'\n      O_K. So um -\n    '
42.912,43.797,fe008,"b""\n      let's see, so,\n    """
44.043,46.628,fe008,"b'\n      um, as you know, the meeting today is to, um,\n    '"
47.264,53.254,fe008,b'\n      '
50.957,55.828,,b'\n      '
53.680,59.545,fe008,"b""\n      And um, I just - I just put down some ideas - you've seen some of this in the email that I sent out earlier.\n    """
55.800,56.360,fe066,b'\n      '
57.593,58.501,,b'\n      '
59.060,59.440,fe067,b'\n      '
59.980,60.705,fe008,"b'\n      And, um,\n    '"
60.375,63.136,,b'\n      '
60.956,61.472,fe068,b'\n      Mmm.\n    '
61.244,68.589,fe008,"b""\n      none of these - these are not obligatory toca- topics but they're just things that I thought might be useful to discuss, just as a way of organizing the discussion.\n    """
69.241,71.956,fe008,"b""\n      But if there are other topics you'd like to discuss that'd be great too.\n    """
72.210,73.220,fe008,"b'\n      Alright, so um,\n    '"
73.768,75.077,fe008,"b'\n      it struck me that, um,\n    '"
75.360,78.998,fe008,"b'\n      you know, we could start out with some sort of general thing about,\n    '"
79.656,86.845,fe008,"b'\n      um, '"
82.570,85.738,,b'\n      '
87.239,90.287,fe008,"b'\n      uh, dealing with the time bins or any aspect of that type.\n    '"
90.710,93.620,fe008,"b'\n      And then, maybe talk about '"
93.900,97.548,fe008,"b'\n      and then maybe talk about, um, aspects of the conventions\n    '"
98.190,99.270,fe008,b'\n      and then the technical\n    '
