start,end,participant,text
0.000,3.659,,b'\n      '
0.160,1.715,me011,b'\n      - '
1.340,4.470,fe016,b'\n      '
1.558,2.020,me013,b'\n      Hmm.\n    '
4.469,10.506,me025,b'\n      '
4.469,10.505,me011,b'\n      '
4.469,10.505,me013,b'\n      '
4.469,10.505,me022,b'\n      '
4.469,10.505,fe008,b'\n      '
4.469,10.507,,b'\n      '
4.470,10.505,fe016,b'\n      '
4.470,10.505,fe041,b'\n      '
4.470,10.505,fn043,b'\n      '
10.505,12.430,me013,b'\n      '
10.800,13.450,fe016,b'\n      '
10.821,13.134,fe041,b'\n      '
11.690,13.083,me011,"b""\n      Well, I don't think - No.\n    """
12.718,14.362,me022,"b""\n      No, uh, that - that wasn't recorded.\n    """
12.956,13.668,fn043,b'\n      '
13.860,14.878,fe016,b'\n      '
14.558,17.526,me011,b'\n      '
15.191,15.765,fn043,b'\n      '
17.341,20.680,fe016,"b'\n      Yeah, I know. It just - it really hurts. It gives you a headache, like if you -\n    '"
21.519,22.612,me022,b'\n      Temple squeezers.\n    '
21.810,23.187,fe016,b'\n      On your temple - Yeah.\n    '
22.472,23.230,me011,b'\n      Yep. '
24.730,25.324,fe016,b'\n      Yeah. '
25.306,25.897,me013,b'\n      Mm-hmm.\n    '
28.030,30.624,me011,b'\n      But I definitely '
30.744,33.068,me022,b'\n      '
35.747,37.898,fe041,"b'\n      Um, Meeting Recorder meeting.\n    '"
35.749,47.951,me022,"b'\n      I guess I have to d- stop doing this sigh of contentment, you know, after sipping cappuccino or something. '"
38.190,39.000,fn043,b'\n      '
39.610,45.269,fe016,b'\n      '
39.987,42.910,fe041,b'\n      '
40.311,42.447,fn043,b'\n      '
40.716,42.591,me011,"b'\n      ""Sip, sigh."" '"
41.238,44.977,me025,b'\n      '
44.886,47.620,fe041,b'\n      '
44.977,45.926,me025,b'\n      '
45.330,47.013,fe008,b'\n      '
46.402,47.055,fe016,b'\n      '
47.824,48.477,fe008,b'\n      '
48.037,49.728,me013,b'\n      '
48.103,48.815,fe016,b'\n      '
48.469,49.254,fe041,b'\n      '
49.388,49.744,me025,b'\n      Yeah.\n    '
49.977,52.045,me013,"b""\n      Oh! We're - we're - we're live. O_K.\n    """
51.173,52.355,fn043,b'\n      '
51.287,53.920,fe008,b'\n      '
52.045,53.310,me013,b'\n      '
52.280,52.573,me025,b'\n      Yeah.\n    '
53.310,54.601,me013,"b'\n      So, uh,\n    '"
54.601,54.983,me013,b'\n      '
54.983,58.987,me013,"b""\n      what were we gonna talk about again? So we said - we said data collection, which we're doing.\n    """
56.542,56.896,fe041,b'\n      '
56.830,57.362,me011,b'\n      '
58.372,59.769,fe016,b'\n      Were we gonna do digits?\n    '
58.987,59.093,me013,b'\n      '
59.079,63.124,fe041,b'\n      O_K. Do we do th- do you go around the room '
60.469,60.904,fe016,b'\n      '
62.609,63.245,me011,b'\n      '
63.245,63.729,me011,b'\n      u-\n    '
63.470,64.428,me025,"b""\n      It's a good idea.\n    """
63.729,69.212,me011,"b""\n      usually we've done that and also we've s- done digits as well, but I forgot to print any out. So. Besides with this big a group, """
69.721,69.839,me013,b'\n      '
69.839,70.765,me011,b'\n      it would take too much time.\n    '
69.839,71.298,me013,b'\n      '
70.021,71.760,fe016,b'\n      You can write '
70.322,72.083,me025,b'\n      '
71.299,72.495,me011,"b'\n      Yeah, but it takes too much time.\n    '"
72.577,76.535,me025,b'\n      Mari? Y- I think your - your - your thing '
72.652,73.186,fe016,b'\n      '
72.745,73.239,fe008,b'\n      What - '
73.330,73.641,fe041,b'\n      What?\n    '
73.583,74.392,me013,"b""\n      It's not that long.\n    """
75.601,79.142,fe041,b'\n      '
76.911,78.992,me025,"b""\n      Sort of it's - it helps if it points sort of upwards.\n    """
79.142,80.151,fe041,b'\n      Whoops. '
80.137,82.157,me025,b'\n      Sort of it - you know. Yeah.\n    '
81.199,81.915,fe041,b'\n      '
81.915,82.503,fe041,b'\n      Would it - m-\n    '
82.503,83.658,fe041,b'\n      '
82.750,85.988,me025,b'\n      So that thing - the little - th- '
82.823,83.219,me013,b'\n      w- u-\n    '
83.132,83.824,fe008,b'\n      '
83.658,85.273,fe041,"b'\n      So - Oh, '"
84.556,84.972,fe008,b'\n      '
85.799,86.340,fe041,b'\n      '
86.180,89.596,fe008,b'\n      Otherwise you just get a heartbeats. '
86.340,87.762,fe041,"b""\n      Yeah. It's kind of - """
87.214,89.519,me013,b'\n      '
87.533,88.185,fe016,b'\n      '
88.885,89.888,fe041,b'\n      '
89.807,90.974,me013,b'\n      as close to you - your\n    '
89.888,90.989,fe041,b'\n      Yeah. O_K.\n    '
90.266,92.032,me025,"b""\n      That's good. That kind of thing is good.\n    """
91.136,91.762,fe008,b'\n      '
91.338,92.680,fe041,b'\n      '
91.500,94.119,me013,b'\n      mouth as possible. '
92.680,93.196,fe041,b'\n      This w-\n    '
93.618,95.352,fe041,"b""\n      Alright. How's that working?\n    """
93.688,95.157,me025,"b""\n      Yeah. Oh, yeah. It's a -\n    """
94.119,94.579,me013,b'\n      Yeah.\n    '
96.018,96.646,me025,"b""\n      It's working.\n    """
96.779,97.361,fe041,b'\n      O_K.\n    '
97.420,100.531,fe008,b'\n      '
98.760,102.855,me013,b'\n      Alright. So what we had '
100.457,104.848,fe041,b'\n      '
100.573,101.174,me025,b'\n      '
102.173,102.489,fe008,b'\n      '
102.769,105.004,me025,b'\n      '
103.470,107.715,me013,"b'\n      and, um, uh, you - you put up there data format,\n    '"
108.389,109.046,fe041,b'\n      Um.\n    '
108.426,111.097,me013,"b'\n      and other tasks during data collection,\n    '"
111.372,113.132,fe041,"b'\n      So, I think the goal - the goal was\n    '"
111.701,113.707,me013,b'\n      and - '
113.526,117.514,fe041,b'\n      what can we do - how can you do the data collection differently to get -\n    '
118.105,120.545,fe041,"b'\n      what can you add to it to get, um,\n    '"
120.762,124.548,fe041,b'\n      some information that would be helpful for the user-interface design? Like -\n    '
124.202,125.589,me011,"b'\n      Uh, especially for querying.\n    '"
125.731,131.131,fe041,"b'\n      Especially for querying. So, getting people to do queries afterwards, getting people to do summaries afterwards.\n    '"
131.471,134.577,fe008,b'\n      '
131.744,132.397,fe041,b'\n      Um.\n    '
134.833,137.331,fe008,"b'\n      i- uh, if he - I, um -\n    '"
137.670,141.472,fe008,"b""\n      if he has - s- I - I don't remember, Mister Lan- Doctor Landry? La- Landay?\n    """
140.570,141.576,me011,b'\n      Landay. James.\n    '
141.688,145.287,fe008,"b'\n      So he has, um, these, uh, um, tsk '"
145.512,148.389,fe008,"b""\n      then that would sort of be a summary which you wouldn't have to solicit.\n    """
145.659,146.348,fe041,b'\n      Mm-hmm.\n    '
146.208,147.078,me011,b'\n      '
148.780,150.115,fe008,b'\n      y- if - if we were able to -\n    '
150.856,152.638,fe041,"b'\n      Well, if - if you\n    '"
150.858,151.688,fe008,b'\n      to do that.\n    '
153.177,156.729,fe041,b'\n      actually take notes as a '
157.015,161.722,fe041,b'\n      in the sense of taking advantage of the '
162.300,165.871,fe041,"b'\n      uh, reminder to send this to so-and-so, blah-blah-blah.\n    '"
165.727,166.172,fe008,b'\n      Mm-hmm.\n    '
166.411,170.823,fe041,"b""\n      So that wouldn't be a """
170.197,174.617,me011,b'\n      '
170.672,171.155,fe008,b'\n      Mm-hmm.\n    '
171.155,171.411,fe008,b'\n      '
174.617,177.166,me011,b'\n      write it down and mark it '
177.020,181.453,me025,"b""\n      Right. I mean, we - because you'd have several people with these pads, you could collect different things.\n    """
181.453,185.470,me025,"b'\n      I mean, cuz '"
181.509,182.020,fe041,b'\n      Right.\n    '
184.944,188.416,me022,"b'\n      I mean, the down-side to that is that he sort of indicated that the,\n    '"
189.160,193.398,me022,"b'\n      uh, quality of '"
195.479,196.067,fe041,b'\n      Well -\n    '
196.020,196.688,me011,"b""\n      But that's alright.\n    """
197.036,199.147,me011,"b""\n      I don't think there'd be so many that you couldn't\n    """
199.602,200.225,fe041,b'\n      '
199.662,200.860,me011,b'\n      have someone clean it up '
201.265,202.138,me011,b'\n      pretty easily.\n    '
202.639,205.938,fe041,b'\n      Yeah. We also could come up with some code for\n    '
206.656,210.314,fe041,b'\n      things that people want to do so that - for '
210.470,210.763,me022,b'\n      Yeah.\n    '
211.423,215.327,fe041,"b""\n      And the other things, people can write whatever they want. I mean, it's to some extent,\n    """
216.163,218.893,fe041,"b'\n      uh, for his benefit. So,\n    '"
221.228,225.428,fe041,"b""\n      if that - you know, if - if we just keep it simple then maybe it's still useful.\n    """
225.889,226.244,me022,b'\n      Right.\n    '
228.047,228.542,me013,b'\n      '
228.090,228.490,me011,b'\n      Yeah.\n    '
229.471,233.752,me013,b'\n      '
230.933,231.212,fe008,b'\n      '
233.763,234.574,fe008,b'\n      The roll call.\n    '
234.509,235.736,fe041,b'\n      Right. I thought you did that\n    '
234.792,235.329,me013,b'\n      Roll call.\n    '
236.490,238.683,fe041,"b'\n      on purpose. But anyway, shall we do the roll call?\n    '"
237.700,241.105,me013,"b'\n      No, not a- '"
241.105,242.443,me013,"b""\n      uh, yeah, I'm Morgan,\n    """
242.443,243.438,me013,b'\n      and '
243.438,244.826,me013,b'\n      where am I? '
245.341,247.571,me011,b'\n      '
246.709,246.907,fe008,b'\n      '
247.754,250.366,fe008,b'\n      '
250.962,252.229,me025,"b""\n      I'm Dan Ellis.\n    """
253.703,254.855,me022,b'\n      Eric on channel nine.\n    '
254.767,255.739,,b'\n      '
255.930,256.944,fe016,"b'\n      Liz, on channel one.\n    '"
257.183,258.824,fe041,b'\n      '
259.013,260.616,fn043,b'\n      '
261.090,262.516,fe008,b'\n      Should we have used pseudo-names?\n    '
262.773,264.810,fe008,b'\n      Should we do it a second time with pseudo- No. '
264.211,265.773,me011,b'\n      '
264.810,266.072,fe008,b'\n      '
264.950,268.907,me013,b'\n      '
266.426,270.334,me011,"b'\n      And, uh, do you want to do the P_D_As and the '"
266.530,267.900,me025,"b'\n      Let me, uh, turn that off.\n    '"
267.361,268.440,fe041,b'\n      '
267.537,268.597,fn043,b'\n      '
267.557,269.241,fe008,b'\n      '
269.501,269.978,me025,b'\n      Oh.\n    '
270.630,273.400,me025,"b'\n      P_Z_M nearest, nearest, '"
270.991,273.914,,b'\n      '
274.705,275.543,me025,b'\n      '
275.096,275.878,fe008,b'\n      Next nearest.\n    '
275.769,276.193,me011,b'\n      Far.\n    '
275.951,280.752,me025,"b'\n      Furthest. P_D_M-right, P_Z_A-right - P_D_A-right, '"
281.280,281.930,fe008,b'\n      O_K.\n    '
282.234,282.730,me025,b'\n      Thanks.\n    '
