start,end,participant,text
0.000,3.956,me018,
0.056,1.861,me011,"Yeah, we had a long discussion about"
2.674,6.315,me011,how much w- how easy we want to make it for people to bleep things out. So -
5.100,7.881,me018,
6.260,6.864,fe016,Right.
6.315,7.061,me011,
7.516,8.757,fe016,O_K. So this is -
8.169,11.100,me011,Morgan wants to make it hard.
8.320,13.210,me018,
9.751,13.549,fe016,"The, uh, counter is not"
9.798,11.268,mn017,
13.210,14.476,me018,It - it doesn't -
14.457,15.844,fe016,"It doesn't like me, but -"
14.476,17.937,me018,
16.383,19.490,me011,Did - did - did it - ? I didn't even
17.937,20.021,me018,It didn't move yesterday either when I started it.
19.536,20.461,fe016,"Oh, it didn't? O_K."
20.260,20.738,me011,So.
20.480,21.926,me018,So I don't know if it doesn't like both of us -
20.716,25.543,fe016,It didn't move on me on one other meeting and it did on one and both recorded the same
21.356,21.992,me011,Channel three?
21.926,25.840,me018,
22.525,23.410,me011,Channel three?
23.823,28.189,me011,
25.840,29.211,me018,"You know, I discovered something yesterday on these, um, wireless ones."
26.353,30.527,fe016,
27.563,28.333,me001,
28.333,30.496,me001,Channel two.
28.859,29.472,me011,Mm-hmm?
29.818,33.430,me018,You can tell if it's picking up
32.513,33.379,me001,
32.823,35.530,me011,"Yeah, it has a little indicator on it - on the A_F."
33.957,34.639,me018,Mm-hmm.
34.187,34.943,fe016,"Oh, really?"
35.410,36.100,me001,
35.993,40.297,fe016,"Oh that's - the gains I've left here as the sort of normal ones, but -"
36.669,44.968,me018,"So if you - yeah, if you breathe under - breathe and then you see A_F go off, then you know"
40.872,44.734,fe016,
44.734,47.514,fe016,"Oh, that's good. Cuz we have a lot of breath noises."
45.165,47.382,mn017,
46.488,47.395,me011,Yep. Test.
48.600,55.714,fe016,"In fact, if you listen to just the channels of people not talking, it's like """
50.512,61.981,me018,
52.547,56.129,me011,
55.324,57.835,mn017,
55.714,57.412,fe016,It's very disgust- Sorry.
56.129,59.360,me011,
57.948,61.094,fe016,Exactly.
59.788,61.569,me011,
61.094,67.030,fe016,"So, um,"
62.011,62.586,me011,
65.547,67.292,me001,
65.787,71.673,me018,
67.490,72.152,fe016,"really appreciate people coming, and"
73.111,77.303,fe016,gonna ask people to help with today is
73.663,74.239,,
75.328,75.664,mn017,
76.610,77.290,mn017,
78.017,83.943,fe016,give input on what kinds of database format we should
82.401,83.350,mn017,
84.244,90.022,fe016,"starting to link up things like word transcripts and annotations of word transcripts, so anything that"
90.022,94.158,fe016,"transcribers or discourse coders or whatever put in the signal,"
94.102,100.374,me001,
94.158,100.561,fe016,"with time-marks for, like, words and phone boundaries and all the stuff we get out of the forced alignments and the recognizer."
96.570,97.924,mn017,
101.129,103.861,fe016,"So, we have this, um -"
103.861,112.257,fe016,
110.526,112.019,me011,
112.019,116.860,me011,"Yeah, I'm - I'm familiar with that. I mean, we - I sort of already have developed an X_M_L format"
113.179,114.700,fe016,"um, which -"
114.408,115.049,me018,Can I see it?
117.340,120.182,me011,for this sort of stuff. And so the only question -
120.636,123.369,me011,is it the sort of thing that you want to use or not?
123.597,125.709,me011,"Have you looked at that? I mean, I had a web page up."
125.474,126.553,fe016,
126.553,127.472,fe016,
127.472,131.596,fe016,"I actually mostly need to be able to link up, or -"
127.834,128.201,me011,So -
131.563,132.117,me011,"You mean, this -"
131.596,134.662,fe016,I- it's - it's a question both of what the representation is and -
133.679,136.370,me011,I guess I
135.136,137.226,fe016,"O_K, yeah. So you"
136.923,141.477,me011,"Um, so - so it definitely had that as a concept. So tha- it has a single time-line,"
140.268,140.545,me018,
141.259,141.855,fe016,Mm-hmm.
141.895,148.940,me011,"and then you can have lots of different sections, each of which have I_Ds attached to it, and then you can refer from other sections to those I_Ds,"
149.237,150.122,me011,if you
150.701,151.886,me011,"So that, um -"
152.860,155.211,me011,so that you start with - with a
155.211,157.700,me011,
157.700,158.998,me011,"""Time-line""."
158.998,159.348,me011,
159.348,161.496,me011,And then you have a bunch of times.
161.496,164.673,me011,I don't e- I don't remember
163.804,166.450,mn017,
164.687,166.230,fe016,"Right, right."
166.317,168.818,me011,"Yeah, ""T_ equals one point"
169.801,171.142,me011,"three two"", uh -"
171.142,174.098,me011,"And then I - I also had optional things like accuracy,"
174.449,180.318,me011,"and then ""I_D equals T_ one, uh, one seven""."
180.318,181.402,me011,
181.402,187.510,me011,I also wanted to - to be i- to be able to not specify specifically what the time was and just have a stamp.
186.014,186.845,fe016,Right.
187.510,189.839,me011,
188.065,189.367,mn017,
189.839,194.543,me011,"Yeah, so these are arbitrary, assigned by a program, not - not by a user. So you have a whole bunch of those."
194.543,198.571,me011,
199.281,200.910,me011,"which has ""start"
201.980,206.185,me011,"equals T_seventeen, end equals T_eighteen""."
206.185,210.830,me011,So what
210.680,211.535,fe016,
211.358,217.266,me011,"Right? But it ends at this T_eighteen, which may be somewhere else. We say there's another utterance."
218.244,222.890,me011,We don't know what the t-
223.798,225.757,me011,
225.265,225.644,mn017,Mmm.
225.757,228.186,me011,
227.948,230.553,mn017,
228.806,229.700,me011,O_K.
231.170,232.109,me011,"Yes, exactly."
232.124,232.620,mn017,Yeah.
233.516,237.050,me011,"And then, uh - and then these"
237.050,240.261,me011,
240.261,247.430,me011,"Right? So you could - you could have some sort of other - other tag later in the file that would be something like, um,"
241.833,242.306,me018,
248.569,250.360,me011,"oh, I don't know,"
250.360,253.494,me011,
253.494,255.840,me011,"""noise-type equals"
255.840,257.739,me011,
257.739,259.367,me011,"door-slam"". You know?"
259.367,260.847,me011,
260.847,261.953,me011,"And then, uh,"
261.953,262.359,me011,
262.359,267.790,me011,"you could either say ""time equals a particular time-mark"" or you could do other sorts of references."
267.790,269.548,me011,So - or - or you might have a prosody -
269.548,270.521,me011,
270.521,273.980,me011,"""Prosody"""
272.563,273.037,fe016,
273.440,276.299,fe016,"It's an O_ instead of an I_, but the D_ is good."
275.981,276.554,me011,
276.188,276.834,me001,
276.554,278.056,me011,You like the D_? That's a good D_.
276.614,277.784,fe016,
277.050,278.716,me018,
278.056,278.943,me011,
279.305,281.402,me011,"you know, so you could have some sort of"
281.402,282.173,me011,
282.173,284.349,me011,"and then you could have, um -"
284.349,288.780,me011,the utterance that it's
285.919,287.768,me001,
289.419,291.943,fe016,"O_K. So, I mean, that seems -"
291.866,292.539,me011,
292.738,293.648,mn017,
292.916,293.695,fe016,that seems g-
294.445,296.052,fe016,great for all of the
294.981,295.535,me011,
297.284,297.816,me011,
297.500,300.310,fe016,"encoding of things with time and,"
300.044,301.090,me011,"Oh, well."
300.710,301.123,fe016,um -
301.657,304.228,fe016,
305.027,311.325,fe016,"uh, what d- what do you do with, say, a forced alignment?"
305.259,306.043,mn017,How- how-
311.797,318.324,fe016,"just conceptually, if you get, um, transcriptions where the words are staying"
318.606,324.537,fe016,"but the time boundaries are changing, cuz you've got a new recognition output, or s- sort of - what's the, um,"
324.905,325.276,mn017,
325.169,327.930,fe016,sequence of going from the
328.346,333.434,fe016,"waveforms that stay the same, the transcripts that may or may not change, and then the"
333.916,337.780,fe016,utterance which -
334.041,335.243,mn017,
336.996,342.309,mn017,"That's actually very nicely handled here because you could - you could - all you'd have to change is the,"
338.247,338.912,fe016,Um.
342.309,348.423,mn017,"um, time-stamps in the time-line without - without, uh, changing the I_Ds."
345.709,347.684,fe016,And you'd be able to propagate all of the -
347.779,351.360,me011,"Right. That's, the who- that's"
348.099,349.340,fe016,the information?
353.230,355.340,me011,So that you can just change the
355.680,362.220,mn017,
356.053,356.586,me001,
357.746,358.438,me011,Yes.
357.876,362.760,fe016,"Yeah, yeah, especially at the"
361.184,363.602,me011,"Yeah, this - I don't think I would do this for phone-level."
363.513,364.370,fe016,Um -
363.602,368.335,me011,I think for phone-level you want to use some sort of binary representation because it'll be too dense otherwise.
367.409,375.974,fe016,"O_K. So, if you were doing that and you had this sort of companion, uh, thing that gets called up for phone-level, uh, what would that look like? How would you - ?"
375.230,377.116,me011,
375.429,376.427,mn017,Why-
378.191,384.146,mn017,Mmm. But - but why
378.349,379.241,fe016,H- h-
378.373,379.707,me011,an existing way of doing it.
384.146,384.918,mn017,
384.918,388.930,mn017,"you know, barring"
387.566,394.006,me011,It's
394.524,401.240,mn017,"Oh, no. You would use it"
400.638,406.919,fe016,So you could have some file that configures how much information you want in your - in your X_M_L or something.
406.818,412.388,me011,"Right. I mean, you'd - y- I - I am imagining you'd have multiple"
407.438,408.535,mn017,
407.470,410.153,fe016,"Um, cuz th- it does get very bush- with -"
410.852,411.477,fe016,Right.
412.388,417.948,me011,
417.125,419.342,fe016,
418.194,419.670,me011,"For word-level, it's alright."
419.254,419.757,mn017,Mm-hmm.
419.670,424.951,me011,For
424.930,429.541,fe016,
427.383,428.628,me018,"Lattices are big, too."
429.541,435.059,fe016,"For every frame, you get a pitch value, and not only one pitch value but different kinds of pitch values depending on -"
434.294,440.128,me011,
435.585,436.108,me018,
440.231,441.201,fe016,Meaning - ?
441.128,447.319,me011,"Uh, that's a - well, or something like it. It's ICS- uh, ICSI has a format for frame-level representation of features."
447.748,452.811,fe016,O_K. That you could call - that you would tie into this representation with like an I_D.
447.762,448.121,me018,
448.130,448.980,me011,Um.
451.077,451.565,me011,Right.
452.645,457.695,me011,Right. Or - or there's a - there's a particular way in X_M_L to refer to external resources.
453.662,454.255,fe016,And -
457.759,458.313,fe016,O_K.
458.363,461.828,me011,"So you would say ""refer to this external file""."
462.464,465.227,me011,"Um, so that external file wouldn't be in -"
463.347,464.830,fe016,So that might - that might work.
464.964,469.414,me018,But what - what's the advantage of doing that versus just putting it into this format?
465.501,466.606,mn017,
468.103,473.690,me011,
470.374,470.786,me018,Uh-huh.
472.191,475.838,fe016,
474.250,479.540,me011,You don't want to do it with that - Anything at frame-level you had better encode binary or it's gonna be really painful.
478.498,484.531,mn017,
484.531,489.345,mn017,"and, um, you know, c- decompress them on the fly if y- if space is really a concern."
485.461,486.450,me018,
488.507,491.592,me018,I was thinking the advantage is that we can
489.048,492.199,me011,
492.808,499.118,me011,you're talking about gigabyte-size files. You're gonna actually run out of space in your
496.570,499.123,fe016,These are big files. These are really - I mean -
499.620,502.850,me011,Right? Because you have a two-gigabyte limit on most O_Ss.
499.887,506.988,mn017,
504.185,505.324,fe016,
505.523,506.335,me001,
508.360,510.966,mn017,"Like phones, or syllables, or anything like that."
509.429,511.848,fe016,Phones are every
512.466,513.455,fe016,Or
512.983,517.078,mn017,But - but - but
514.263,516.018,me001,
